query time,processing time,input event instants,input state intervals,input dynamic phe. intervals,user event instances,user event instants,user state instances,user state intervals,user dynamic phe. instances,user dynamic phe. intervals
1446429601,603,22829,0,0,183,22515,3443,4220,9,9
1446436801,579,25780,0,0,227,25355,3496,4243,9,9
1446444001,914,31447,0,0,279,30927,3562,4536,6,6
1446451201,660,38392,0,0,341,37688,3635,4801,63,189
1446458401,681,44706,0,0,357,43719,3683,5310,86,269
1446465601,701,46140,0,0,343,45115,3664,5488,86,315
1446472801,864,44612,0,0,294,43603,3627,5330,83,329
1446480001,739,39937,0,0,265,39051,3602,5008,60,168
1446487201,758,38364,0,0,251,37727,3605,4696,89,133
1446494401,602,36908,0,0,209,36402,3579,4454,66,85
1446501601,599,35468,0,0,180,35019,3572,4435,82,93
1446508801,556,32683,0,0,148,32304,3541,4407,46,53
1446516001,525,27607,0,0,132,27319,3506,4349,4,13
1446523201,513,24048,0,0,127,23815,3500,4477,4,11
1446530401,530,22769,0,0,109,22589,3476,4598,2,4
1446537601,592,26060,0,0,123,25830,3515,4820,25,33
1446544801,580,29084,0,0,135,28782,3550,4794,36,43
1446552001,578,31343,0,0,129,31007,3563,4708,31,45
1446559201,613,32982,0,0,124,32605,3567,4542,44,57
1446566401,681,33801,0,0,128,33387,3554,4364,49,54
1446573601,614,33150,0,0,150,32752,3568,4334,43,49
1446580801,785,32946,0,0,158,32555,3574,4369,24,28
1446588001,610,32264,0,0,146,31877,3558,4519,37,43
1446595201,633,30784,0,0,117,30496,3525,4508,39,44
1446602401,735,29444,0,0,115,29225,3528,4650,19,22
1446609601,577,28217,0,0,109,28044,3517,4689,4,5
1446616801,580,27001,0,0,113,26876,3519,4717,21,48
1446624001,623,29385,0,0,159,29158,3584,4989,60,155
1446631201,684,34678,0,0,163,34215,3589,5361,50,273
1446638401,677,36587,0,0,157,36031,3591,5486,63,439
1446645601,777,40644,0,0,164,39985,3605,5538,76,447
1446652801,706,39542,0,0,168,38923,3604,5401,67,389
1446660001,673,34638,0,0,167,34224,3596,4998,57,248
1446667201,739,34354,0,0,165,34002,3593,4850,59,106
1446674401,651,31919,0,0,130,31629,3552,4601,36,41
1446681601,632,29833,0,0,106,29611,3522,4452,22,31
1446688801,827,29181,0,0,99,28991,3522,4510,24,33
1446696001,722,26196,0,0,98,26039,3524,4443,14,14
1446703201,666,23604,0,0,113,23484,3532,4527,15,16
1446710401,686,27678,0,0,149,27443,3587,4832,44,95
1446717601,671,32187,0,0,150,31909,3588,4859,50,157
1446724801,738,37583,0,0,161,37219,3606,5112,61,320
1446732001,741,41610,0,0,177,41171,3632,5356,83,408
1446739201,814,42429,0,0,217,41952,3680,5483,84,384
1446746401,858,41946,0,0,226,41435,3694,5642,81,344
1446753601,789,38902,0,0,235,38435,3700,5622,63,180
1446760801,921,35732,0,0,224,35223,3686,5493,44,107
1446768001,828,29312,0,0,189,28915,3647,5168,16,21
1446775201,667,24077,0,0,172,23756,3628,5035,2,6
1446782401,598,22941,0,0,143,22632,3609,5031,1,1
1446789601,575,24810,0,0,111,24545,3595,5145,3,3
1446796801,620,28906,0,0,86,28635,3606,5226,13,20
1446804001,666,31802,0,0,95,31501,3632,5094,35,50
1446811201,663,31059,0,0,106,30778,3644,4830,31,45
1446818401,595,29385,0,0,122,29103,3657,4516,29,41
1446825601,649,29113,0,0,140,28802,3672,4451,37,45
1446832801,621,27842,0,0,130,27535,3672,4389,32,39
1446840001,588,26898,0,0,119,26607,3671,4393,34,40
1446847201,586,25071,0,0,117,24850,3672,4320,33,38
1446854401,579,21102,0,0,97,20980,3641,4120,10,10
1446861601,648,18836,0,0,120,18730,3662,4172,10,10
1446868801,603,18758,0,0,119,18620,3674,4133,1,1
1446876001,663,19786,0,0,110,19646,3672,4195,0,0
1446883201,626,21791,0,0,109,21595,3689,4275,10,13
1446890401,608,26789,0,0,90,26553,3683,4312,23,27
1446897601,625,29478,0,0,109,29225,3705,4523,23,37
1446904801,730,33816,0,0,149,33483,3748,4713,30,50
1446912001,692,35980,0,0,182,35574,3784,4892,29,40
1446919201,703,36741,0,0,204,36297,3790,4917,26,39
1446926401,707,36328,0,0,222,35851,3811,4878,28,35
1446933601,743,33645,0,0,229,33151,3827,4851,10,15
1446940801,642,30587,0,0,230,30074,3822,4733,6,11
1446948001,616,26170,0,0,263,25583,3864,4807,8,10
1446955201,589,24458,0,0,275,23820,3867,4752,4,4
1446962401,572,21507,0,0,240,20967,3842,4567,0,0
1446969601,551,19786,0,0,210,19339,3836,4482,5,5
1446976801,554,19380,0,0,165,19024,3813,4328,16,16
1446984001,629,20089,0,0,124,19801,3813,4274,29,33
1446991201,657,22990,0,0,150,22643,3843,4395,33,39
1446998401,577,27155,0,0,150,26771,3857,4544,24,41
1447005601,577,26660,0,0,141,26346,3850,4526,21,35
1447012801,562,24398,0,0,128,24164,3837,4549,16,26
1447020001,565,21443,0,0,102,21290,3821,4575,12,20
